City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1026,husavik,is,25.65,few clouds,66.0449,-17.3389,Bjarnabúð
1027,kapaa,us,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1028,ahipara,nz,74.14,clear sky,-35.1667,173.1667,Ahipara Holiday Park
1029,katunino,ru,15.69,light snow,64.3862,40.6298,pine Borok
1030,charleston,us,58.32,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
1031,butaritari,ki,81.07,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1032,bengkulu,id,75.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1033,tual,id,82.45,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
1034,songea,tz,62.29,light rain,-10.6833,35.65,mtakuja
1035,juneau,us,39.85,light rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
1036,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
1037,rikitea,pf,78.31,broken clouds,-23.1203,-134.9692,People ThankYou
1038,rikitea,pf,78.31,broken clouds,-23.1203,-134.9692,People ThankYou
1040,ribeira grande,pt,61.95,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
1041,rikitea,pf,78.31,broken clouds,-23.1203,-134.9692,People ThankYou
1042,rikitea,pf,78.31,broken clouds,-23.1203,-134.9692,People ThankYou
1043,saint-philippe,re,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
